signature_name	rank	score	compound_raw	class	moa	target	source	pert_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	sig_id	pubchem_id	input_file	pert_desc	drugchem_id	compound_normalized
GSE267750_primary_Bcell_4_vs_18	1	0.0766	TG101348	JAK_inhibitor	JAK2 inhibitor	JAK2	override	BRD-K12502280	WSUDLCL2	11.1	um	6.0	h	CPC006_WSUDLCL2_6H:BRD-K12502280:11.1	16722836.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	TG101348		tg101348
GSE267750_primary_Bcell_4_vs_18	4	0.0622	TENIPOSIDE	Topoisomerase_inhibitor	Topoisomerase II inhibitor	TOP2	override	BRD-A35588707	WSUDLCL2	1.25	um	6.0	h	CPC006_WSUDLCL2_6H:BRD-A35588707:1.25	6708778.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	TENIPOSIDE		teniposide
GSE267750_primary_Bcell_4_vs_18	5	0.0622	CGP-60474	CDK_inhibitor	CDK inhibitor	CDK (family)	override	BRD-K79090631	HCC515	10.0	um	24.0	h	LJP008_HCC515_24H:BRD-K79090631:10	644215.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	CGP-60474		cgp-60474
GSE267750_primary_Bcell_4_vs_18	7	0.0574	PF-431396	FAK_SRC_inhibitor	FAK inhibitor	PTK2 (FAK)	override	BRD-K93788137	HA1E	10.0	um	24.0	h	LJP005_HA1E_24H:BRD-K93788137:10	11598628.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	PF-431396		pf-431396
GSE267750_primary_Bcell_4_vs_18	8	0.0574	BMS-387032	JAK_inhibitor	JAK inhibitor	JAK (family)	override	BRD-K43389698	HCC515	10.0	um	24.0	h	LJP006_HCC515_24H:BRD-K43389698:10	3025986.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	BMS-387032		bms-387032
GSE267750_primary_Bcell_4_vs_18	9	0.0574	GSK-461364	PLK_inhibitor	PLK1 inhibitor	PLK1	curated	BRD-K92428232	HA1E	1.11	um	24.0	h	LJP008_HA1E_24H:BRD-K92428232:1.11	15983966.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	GSK-461364		gsk-461364
GSE267750_primary_Bcell_4_vs_18	11	0.0526	"""N-(4-methoxyphenyl)-4-morpholino-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-amine hw-gc-act02"""	UNMAPPED			unmapped	BRD-K71172276	A375	10.0	um	24.0	h	CPC007_A375_24H:BRD-K71172276:10.0	24747245.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	"""N-(4-methoxyphenyl)-4-morpholino-6-(pyrrolidin-1-yl)-1,3,5-triazin-2-amine hw-gc-act02"""		n-4-methoxyphenyl-4-morpholino-6-pyrrolidin-1-yl-135-triazin-2-amine hw-gc-act02
GSE267750_primary_Bcell_4_vs_18	12	0.0526	PF-3758309	UNMAPPED			unmapped	BRD-K37764012	HEPG2	10.0	um	24.0	h	LJP009_HEPG2_24H:BRD-K37764012:10		results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	PF-3758309		pf-3758309
GSE267750_primary_Bcell_4_vs_18	13	0.0526	CGP-60474	CDK_inhibitor	CDK inhibitor	CDK (family)	override	BRD-K79090631	HCC515	1.11	um	24.0	h	LJP008_HCC515_24H:BRD-K79090631:1.11	644215.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	CGP-60474		cgp-60474
GSE267750_primary_Bcell_4_vs_18	14	0.0526	AT-7519	CDK_inhibitor	CDK inhibitor	CDK (family)	override	BRD-K13390322	HEPG2	1.11	um	24.0	h	LJP006_HEPG2_24H:BRD-K13390322:1.11	11338033.0	results/l1000cds2/GSE267750_4_vs_18.reverse.top50.tsv	AT-7519		at-7519
