rank	score	pert_desc	pert_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	sig_id	pubchem_id	drugchem_id
1	0.0711	Homoharringtonine	BRD-K76674262	HA1E	10.0	um	24.0	h	CPC001_HA1E_24H:BRD-K76674262:10.0	285033	
2	0.0711	Narciclasine	BRD-K06792661	HA1E	10.0	um	24.0	h	CPC006_HA1E_24H:BRD-K06792661:10.0	72376	
3	0.066	ERYTHROSINE SODIUM	BRD-K14920963	HA1E	10.0	um	24.0	h	CPC004_HA1E_24H:BRD-K14920963:10.0	25162930	
4	0.0609	Emetine Dihydrochloride Hydrate (74)	BRD-K01976263	HA1E	0.63	um	24.0	h	CPC006_HA1E_24H:BRD-K01976263:0.63	11957493	
5	0.0508	EMETINE	BRD-A25687296	HA1E	10.0	um	24.0	h	CPC004_HA1E_24H:BRD-A25687296:10.0	5702048	
6	0.0508	NICLOSAMIDE	BRD-K35960502	HA1E	10.0	um	24.0	h	CPC006_HA1E_24H:BRD-K35960502:10.0	4477	
7	0.0508	-666	BRD-K56411643	VCAP	10.0	um	24.0	h	CPC006_VCAP_24H:BRD-K56411643:10.0	40911229	
8	0.0508	NP-004102	BRD-A14178283	SKB	10.0	um	24.0	h	CPC013_SKB_24H:BRD-A14178283:10.0	23986040	
9	0.0508	S1230	BRD-K87909389	VCAP	10.0	um	24.0	h	CPC013_VCAP_24H:BRD-K87909389:10.0	5287969	
10	0.0508	GDC-0980	BRD-A18328003	A375	0.37	um	24	h	LJP005_A375_24H:BRD-A18328003:0.37		
11	0.0457	Dibutyryl-cAMP, sodium salt	BRD-A04706586	COV644	10.0	um	6.0	h	CPC006_COV644_6H:BRD-A04706586:10.0	2460	
12	0.0457	METHYLENE BLUE	BRD-K16406336	HCC515	10.0	um	6.0	h	CPC006_HCC515_6H:BRD-K16406336:10.0	4139	
13	0.0457	Narciclasine	BRD-K06792661	SW948	10.0	um	6.0	h	CPC006_SW948_6H:BRD-K06792661:10.0	72376	
14	0.0457	T5212475	BRD-K62459624	VCAP	10.0	um	24.0	h	CPC012_VCAP_24H:BRD-K62459624:10.0	2416356	
15	0.0457	7910663	BRD-K03176945	ASC	10.0	um	24.0	h	CPC013_ASC_24H:BRD-K03176945:10.0	1242564	
16	0.0457	QL-XII-47	BRD-K99252563	BT20	0.37	um	24	h	LJP006_BT20_24H:BRD-K99252563:0.37	71748056	
17	0.0457	celastrol	BRD-A24396574	HME1	10	um	3	h	LJP006_HME1_3H:BRD-A24396574:10	73707365	
18	0.0406	Anisomycin	BRD-K91370081	HA1E	10.0	um	24.0	h	CPC002_HA1E_24H:BRD-K91370081:10.0	253602	
19	0.0406	EMETINE	BRD-A25687296	HA1E	10.0	um	6.0	h	CPC004_HA1E_6H:BRD-A25687296:10.0	5702048	
20	0.0406	ERYTHROSINE SODIUM	BRD-K14920963	HA1E	10.0	um	6.0	h	CPC004_HA1E_6H:BRD-K14920963:10.0	25162930	
21	0.0406	calyculin A	BRD-A47513740	HA1E	10.0	um	24.0	h	CPC005_HA1E_24H:BRD-A47513740:10.0	16760037	
