class	n_signatures	total_hits	total_unique_compounds	score_mean	score_median	score_max	signatures
dye/unclear	1	2	1	0.0533	0.0533	0.066	GSE195452_bcells_cluster2
PI3K_mTOR_inhibitor	1	1	1	0.0508	0.0508	0.0508	GSE195452_bcells_cluster2
protein_synthesis_inhibitor	1	11	5	0.048454545454545445	0.0406	0.0711	GSE195452_bcells_cluster2
mitochondrial_uncoupler	1	2	1	0.0457	0.0457	0.0508	GSE195452_bcells_cluster2
BTK_inhibitor	1	1	1	0.0457	0.0457	0.0457	GSE195452_bcells_cluster2
cAMP_agonist	1	1	1	0.0457	0.0457	0.0457	GSE195452_bcells_cluster2
redox_agent	1	1	1	0.0457	0.0457	0.0457	GSE195452_bcells_cluster2
BCL2_inhibitor	1	1	1	0.0406	0.0406	0.0406	GSE195452_bcells_cluster2
CDK_inhibitor	1	1	1	0.0406	0.0406	0.0406	GSE195452_bcells_cluster2
JAK_inhibitor	1	1	1	0.0406	0.0406	0.0406	GSE195452_bcells_cluster2
MEK_inhibitor	1	1	1	0.0406	0.0406	0.0406	GSE195452_bcells_cluster2
PP2A_inhibitor	1	1	1	0.0406	0.0406	0.0406	GSE195452_bcells_cluster2
Topoisomerase_inhibitor	1	1	1	0.0406	0.0406	0.0406	GSE195452_bcells_cluster2
farnesyltransferase_inhibitor	1	1	1	0.0406	0.0406	0.0406	GSE195452_bcells_cluster2
NFkB_inhibitor	1	4	3	0.039325	0.03805	0.0457	GSE195452_bcells_cluster2
mTOR_inhibitor	1	2	1	0.03805	0.03805	0.0406	GSE195452_bcells_cluster2
dopamine_antagonist	1	1	1	0.0355	0.0355	0.0355	GSE195452_bcells_cluster2
