signature_name	rank	score	compound_raw	class	moa	target	source	pert_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	sig_id	pubchem_id	input_file	pert_desc	drugchem_id	compound_normalized
GSE195452_bcells_cluster2	1	0.0711	Homoharringtonine	protein_synthesis_inhibitor	translation inhibitor (elongation block)	RPL/RPS (ribosome)	override	BRD-K76674262	HA1E	10.0	um	24.0	h	CPC001_HA1E_24H:BRD-K76674262:10.0	285033.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Homoharringtonine		homoharringtonine
GSE195452_bcells_cluster2	2	0.0711	Narciclasine	protein_synthesis_inhibitor	translation inhibitor / cytoskeletal effects	RPL/RPS (ribosome)	override	BRD-K06792661	HA1E	10.0	um	24.0	h	CPC006_HA1E_24H:BRD-K06792661:10.0	72376.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Narciclasine		narciclasine
GSE195452_bcells_cluster2	3	0.066	ERYTHROSINE SODIUM	dye/unclear	food dye; unclear mechanism	unknown	override	BRD-K14920963	HA1E	10.0	um	24.0	h	CPC004_HA1E_24H:BRD-K14920963:10.0	25162930.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	ERYTHROSINE SODIUM		erythrosine sodium
GSE195452_bcells_cluster2	4	0.0609	Emetine Dihydrochloride Hydrate (74)	protein_synthesis_inhibitor	translation inhibitor (40S)	RPL/RPS (ribosome)	override	BRD-K01976263	HA1E	0.63	um	24.0	h	CPC006_HA1E_24H:BRD-K01976263:0.63	11957493.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Emetine Dihydrochloride Hydrate (74)		emetine dihydrochloride hydrate 74
GSE195452_bcells_cluster2	5	0.0508	EMETINE	protein_synthesis_inhibitor	translation inhibitor (40S)	RPL/RPS (ribosome)	override	BRD-A25687296	HA1E	10.0	um	24.0	h	CPC004_HA1E_24H:BRD-A25687296:10.0	5702048.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	EMETINE		emetine
GSE195452_bcells_cluster2	6	0.0508	NICLOSAMIDE	mitochondrial_uncoupler	mitochondrial uncoupler / pleiotropic signaling	mitochondria	override	BRD-K35960502	HA1E	10.0	um	24.0	h	CPC006_HA1E_24H:BRD-K35960502:10.0	4477.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	NICLOSAMIDE		niclosamide
GSE195452_bcells_cluster2	8	0.0508	NP-004102	UNMAPPED			unmapped	BRD-A14178283	SKB	10.0	um	24.0	h	CPC013_SKB_24H:BRD-A14178283:10.0	23986040.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	NP-004102		np-004102
GSE195452_bcells_cluster2	9	0.0508	S1230	UNMAPPED			unmapped	BRD-K87909389	VCAP	10.0	um	24.0	h	CPC013_VCAP_24H:BRD-K87909389:10.0	5287969.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	S1230		s1230
GSE195452_bcells_cluster2	10	0.0508	GDC-0980	PI3K_mTOR_inhibitor	PI3K/mTOR dual inhibitor	PIK3CA/PIK3CD/MTOR	override	BRD-A18328003	A375	0.37	um	24.0	h	LJP005_A375_24H:BRD-A18328003:0.37		results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	GDC-0980		gdc-0980
GSE195452_bcells_cluster2	11	0.0457	Dibutyryl-cAMP, sodium salt	cAMP_agonist	cAMP analog / PKA activator	PRKACA	override	BRD-A04706586	COV644	10.0	um	6.0	h	CPC006_COV644_6H:BRD-A04706586:10.0	2460.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Dibutyryl-cAMP, sodium salt		dibutyryl-camp
GSE195452_bcells_cluster2	12	0.0457	METHYLENE BLUE	redox_agent	redox cycling agent; pleiotropic	mitochondria	override	BRD-K16406336	HCC515	10.0	um	6.0	h	CPC006_HCC515_6H:BRD-K16406336:10.0	4139.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	METHYLENE BLUE		methylene blue
GSE195452_bcells_cluster2	13	0.0457	Narciclasine	protein_synthesis_inhibitor	translation inhibitor / cytoskeletal effects	RPL/RPS (ribosome)	override	BRD-K06792661	SW948	10.0	um	6.0	h	CPC006_SW948_6H:BRD-K06792661:10.0	72376.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Narciclasine		narciclasine
GSE195452_bcells_cluster2	14	0.0457	T5212475	UNMAPPED			unmapped	BRD-K62459624	VCAP	10.0	um	24.0	h	CPC012_VCAP_24H:BRD-K62459624:10.0	2416356.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	T5212475		t5212475
GSE195452_bcells_cluster2	15	0.0457	7910663	UNMAPPED			unmapped	BRD-K03176945	ASC	10.0	um	24.0	h	CPC013_ASC_24H:BRD-K03176945:10.0	1242564.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	7910663		7910663
GSE195452_bcells_cluster2	16	0.0457	QL-XII-47	BTK_inhibitor	covalent kinase inhibitor (BTK/TEC-family)	BTK	override	BRD-K99252563	BT20	0.37	um	24.0	h	LJP006_BT20_24H:BRD-K99252563:0.37	71748056.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	QL-XII-47		ql-xii-47
GSE195452_bcells_cluster2	17	0.0457	celastrol	NFkB_inhibitor	stress-response / NF-kB pathway suppression	NF-kB (pathway)	override	BRD-A24396574	HME1	10.0	um	3.0	h	LJP006_HME1_3H:BRD-A24396574:10	73707365.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	celastrol		celastrol
GSE195452_bcells_cluster2	18	0.0406	Anisomycin	protein_synthesis_inhibitor	translation inhibitor (ribosome)	RPL/RPS (ribosome)	override	BRD-K91370081	HA1E	10.0	um	24.0	h	CPC002_HA1E_24H:BRD-K91370081:10.0	253602.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	Anisomycin		anisomycin
GSE195452_bcells_cluster2	19	0.0406	EMETINE	protein_synthesis_inhibitor	translation inhibitor (40S)	RPL/RPS (ribosome)	override	BRD-A25687296	HA1E	10.0	um	6.0	h	CPC004_HA1E_6H:BRD-A25687296:10.0	5702048.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	EMETINE		emetine
GSE195452_bcells_cluster2	20	0.0406	ERYTHROSINE SODIUM	dye/unclear	food dye; unclear mechanism	unknown	override	BRD-K14920963	HA1E	10.0	um	6.0	h	CPC004_HA1E_6H:BRD-K14920963:10.0	25162930.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	ERYTHROSINE SODIUM		erythrosine sodium
GSE195452_bcells_cluster2	21	0.0406	calyculin A	PP2A_inhibitor	PP1/PP2A phosphatase inhibitor	PPP1CA/PPP2CA	override	BRD-A47513740	HA1E	10.0	um	24.0	h	CPC005_HA1E_24H:BRD-A47513740:10.0	16760037.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	calyculin A		calyculin a
GSE195452_bcells_cluster2	22	0.0406	TENIPOSIDE	Topoisomerase_inhibitor	Topoisomerase II inhibitor	TOP2	curated	BRD-A35588707	A375	1.25	um	24.0	h	CPC006_A375_24H:BRD-A35588707:1.25	6708778.0	results/paper2_bcells_scvi/l1000cds2/GSE195452_bcells_cluster2.tsv	TENIPOSIDE		teniposide
