,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TOMM7,8.229164110319523,0.8869541600396748,0.17079262545107682,5.193164269810589,2.0674960642565989e-07,0.0017654348892687099
PABPC1,14.10268840354563,0.5314916954610445,0.11119650364056242,4.77975186323364,1.7551167655896563e-06,0.007493471030685038
LYN,3.7191256281039045,1.1413983946804775,0.26311292366242695,4.338055230403233,1.4374903597970948e-05,0.04091576727435797
AL928654.4,4.179183971617873,1.2279216797667534,0.2928749066509611,4.192648983854909,2.7571589229056976e-05,0.05885845010672938
PTGES3,2.339329520489519,1.3471419341974815,0.3282103426931958,4.104507868774755,4.051764812244677e-05,0.06919603946351459
SSR2,2.4254355677770043,1.4390243416015212,0.35685145299701915,4.0325584483848,5.517288667381362e-05,0.0785202132179491
IKZF1,4.319381877028279,0.9462917830184863,0.2508243066683336,3.772727594019719,0.00016147255616156332,0.19697345100908417
SNORD35A,13.83327171293914,0.4009142665569604,0.11136072099976477,3.600140722488742,0.0003180450072059057,0.23402658161322196
RPL36AL,7.687032425224766,0.6406780631498946,0.18222473339299536,3.515867748689059,0.0004383192628507624,0.23402658161322196
KMT2E,2.4170827329612212,1.3108661427078028,0.3710021037607877,3.533311885349886,0.0004103880265097939,0.23402658161322196
VOPP1,1.1715996696624913,1.9825043407320826,0.5606316258531252,3.5361978334976434,0.00040593058276415923,0.23402658161322196
ODC1,1.4215345965417272,1.6424064239370952,0.46715636671630034,3.515753056052243,0.00043850864337879745,0.23402658161322196
CCDC50,2.001416862097238,1.6870276580157701,0.4685808745617988,3.6002913255762348,0.000317860841846909,0.23402658161322196
EIF3L,4.8037706009548335,0.7308780372891046,0.2060390483381501,3.547279232670459,0.00038923181342437644,0.23402658161322196
ANKRD12,3.1372927782268802,1.428783918287471,0.39515889366194756,3.6157200083411865,0.0002995139722158165,0.23402658161322196
CD79A,20.053657229057507,-0.28930943699389716,0.08064573828020945,-3.5874113519634556,0.00033397722333249204,0.23402658161322196
REEP5,1.3230931426304986,1.6548502210518157,0.4818030217081069,3.434702869203634,0.0005932038689051355,0.28140932425449733
