metric	category	value
n_cells		976
n_genes		40867
count_by:gsm	GSM5837459	27
count_by:gsm	GSM5837531	25
count_by:gsm	GSM5837529	23
count_by:gsm	GSM5837456	23
count_by:gsm	GSM5837552	20
count_by:gsm	GSM5837535	20
count_by:gsm	GSM5837334	20
count_by:gsm	GSM5837462	19
count_by:gsm	GSM5837542	19
count_by:gsm	GSM5837457	18
count_by:gsm	GSM5837427	18
count_by:gsm	GSM5837430	18
count_by:gsm	GSM5837431	16
count_by:gsm	GSM5837358	16
count_by:gsm	GSM5837530	15
count_by:gsm	GSM5837453	14
count_by:gsm	GSM5837207	14
count_by:gsm	GSM5837294	14
count_by:gsm	GSM5837400	14
count_by:gsm	GSM5837466	13
count_by:gsm	GSM5837206	12
count_by:gsm	GSM5837687	12
count_by:gsm	GSM5837458	12
count_by:gsm	GSM5837293	12
count_by:gsm	GSM5837699	12
count_by:gsm	GSM5837213	12
count_by:gsm	GSM5837208	12
count_by:gsm	GSM5837224	11
count_by:gsm	GSM5837556	10
count_by:gsm	GSM5837210	10
count_by:gsm	GSM5837204	10
count_by:gsm	GSM5837521	10
count_by:gsm	GSM5837452	10
count_by:gsm	GSM5837700	10
count_by:gsm	GSM5837560	10
count_by:gsm	GSM5837532	10
count_by:gsm	GSM5837410	9
count_by:gsm	GSM5837333	9
count_by:gsm	GSM5837428	9
count_by:gsm	GSM5837503	9
count_by:gsm	GSM5837662	9
count_by:gsm	GSM5837426	8
count_by:gsm	GSM5837562	8
count_by:gsm	GSM5837222	8
count_by:gsm	GSM5837337	8
count_by:gsm	GSM5837565	8
count_by:gsm	GSM5837571	8
count_by:gsm	GSM5837502	8
count_by:gsm	GSM5837467	7
count_by:gsm	GSM5837221	7
count_by:gsm	GSM5837461	7
count_by:gsm	GSM5837203	7
count_by:gsm	GSM5837223	6
count_by:gsm	GSM5837205	6
count_by:gsm	GSM5837209	6
count_by:gsm	GSM5837631	6
count_by:gsm	GSM5837342	6
count_by:gsm	GSM5837283	6
count_by:gsm	GSM5837290	6
count_by:gsm	GSM5837226	6
count_by:gsm	GSM5837641	5
count_by:gsm	GSM5837336	5
count_by:gsm	GSM5837455	5
count_by:gsm	GSM5837515	5
count_by:gsm	GSM5837517	5
count_by:gsm	GSM5837288	5
count_by:gsm	GSM5837664	5
count_by:gsm	GSM5837647	5
count_by:gsm	GSM5837564	5
count_by:gsm	GSM5837287	5
count_by:gsm	GSM5837001	4
count_by:gsm	GSM5837225	4
count_by:gsm	GSM5837231	4
count_by:gsm	GSM5837646	4
count_by:gsm	GSM5837655	4
count_by:gsm	GSM5837219	4
count_by:gsm	GSM5837234	4
count_by:gsm	GSM5837450	4
count_by:gsm	GSM5837454	4
count_by:gsm	GSM5837399	4
count_by:gsm	GSM5837372	4
count_by:gsm	GSM5837417	4
count_by:gsm	GSM5837663	4
count_by:gsm	GSM5837698	4
count_by:gsm	GSM5837570	3
count_by:gsm	GSM5837566	3
count_by:gsm	GSM5837572	3
count_by:gsm	GSM5837576	3
count_by:gsm	GSM5837580	3
count_by:gsm	GSM5837575	3
count_by:gsm	GSM5837296	3
count_by:gsm	GSM5837429	3
count_by:gsm	GSM5837239	3
count_by:gsm	GSM5837212	3
count_by:gsm	GSM5837004	3
