names	scores	logfoldchanges	pvals	pvals_adj
PABPC1	6.707722	1.2787751	1.976856045549995e-11	4.0394088006745825e-07
MT-RNR2	6.3931036	0.21948846	1.6255181420480413e-10	2.21433499703591e-06
MT-RNR1	6.1116033	0.45604625	9.863529496312116e-10	1.007732149814468e-05
AC134669.2	5.3241367	1.1825997	1.0143358006734205e-07	0.0008290572233224135
RPL27	5.2498517	0.886741	1.522216116738973e-07	0.0010368067673795268
MT-ND4L	5.1938505	1.0074251	2.059884232885434e-07	0.001113537240167099
RPLP1	5.1805115	0.4744514	2.2127822779933979e-07	0.001113537240167099
RPS18	5.0886326	0.4470612	3.606541496181167e-07	0.0014738853132443576
SYVN1	5.0636797	1.0807841	4.1124076057840897e-07	0.0015278341965961671
RPS14	5.029757	0.633792	4.911022634158751e-07	0.0016724896832513805
RPS6	4.9751353	0.428656	6.520199461080331e-07	0.002049699933661307
HSP90AA1	4.8899264	1.0870787	1.008737004635448e-06	0.002944575369174061
MALAT1	4.8276005	1.0128375	1.3818786852102322e-06	0.0037026392720051044
RPS12	4.818056	0.56950235	1.4496348729312568e-06	0.0037026392720051044
BANK1	4.748371	1.0567212	2.0506158502383013e-06	0.004929559879511098
EZR	4.61774	1.1516091	3.879419908597164e-06	0.007927012670232015
RPS8	4.602216	0.39126915	4.180193409855203e-06	0.008098955258449147
TOMM7	4.5933614	0.96924925	4.361623080669037e-06	0.008098955258449147
SNORD35A	4.584162	1.0124645	4.558102404001527e-06	0.008098955258449147
HSPA8	4.5658784	1.0128299	4.974068594911609e-06	0.008469802552843863
IKZF1	4.5506997	1.2867765	5.346785925780591e-06	0.008740284017155016
NAP1L1	4.4340973	0.978571	9.24587905197365e-06	0.014532743816038737
CTSS	4.3293395	1.1038187	1.4955714004571496e-05	0.022636857934252717
RPS13P2	4.2617245	0.96335876	2.028556697641138e-05	0.02960750948660728
LYN	4.2275715	1.2121286	2.3622705264114516e-05	0.033185541667366994
RPS3	4.218947	0.62090427	2.454457904293043e-05	0.033185541667366994
GNAI2	4.209403	1.0050108	2.5604655881214405e-05	0.033185541667366994
HINT1	4.206068	1.0131457	2.5985204036404528e-05	0.033185541667366994
MTRNR2L12	4.1399474	0.9280125	3.473852497706764e-05	0.04301997879508556
RPS2	4.1243086	0.6782663	3.718500439628667e-05	0.044695281607736684
RPL35	4.075322	0.853974	4.595072895015385e-05	0.05365338400016964
EIF3H	4.0512886	0.972714	5.093633606221015e-05	0.05782264571817618
ANKRD12	3.972174	1.4997783	7.121966902097356e-05	0.07866308686162504
NACA3P	3.9555001	0.9035806	7.63747075794449e-05	0.08185976393633733
SNORA62	3.9500954	0.91566974	7.812001843827919e-05	0.08185976393633733
RPS7	3.9331915	0.8049021	8.382535041615717e-05	0.08564226488642739
SNORD100	3.9219224	0.50651383	8.784527939254765e-05	0.08756031787646938
ARPC2	3.913298	0.8656581	9.104406180783269e-05	0.08858803985477855
PTPN6	3.8499374	0.8989235	0.00011814805156904523	0.11228735868539934
LUZP6	3.838783	0.9686285	0.0001236455999693271	0.11484147122605659
RPL11	3.8167045	0.4403939	0.00013524593187244166	0.12282434439624608
YWHAZ	3.8014107	0.8657441	0.00014387462760508498	0.12626700120186699
IKZF3	3.799111	0.9913263	0.00014521616601384364	0.12626700120186699
