names	scores	logfoldchanges	pvals	pvals_adj	pct_nz_group
MT-RNR2	20.355566	1.0744005	4.144350959550898e-92	1.6936719066396656e-87	1.0
MT-CO1	17.114283	0.8558879	1.1613822149823979e-65	2.3731103489842827e-61	1.0
MT-RNR1	17.024014	1.2128018	5.45032806275855e-65	7.424618564691789e-61	1.0
MT-ND4	16.409151	0.8629028	1.6449102957010398e-60	1.68056372636036e-56	1.0
CD74	16.144669	0.8255568	1.2381190628399274e-58	1.0119642348215864e-54	1.0
RPLP1	16.087748	1.1563127	3.1094663661392297e-58	2.117909366416865e-54	1.0
RPS6	16.071074	1.1238153	4.069768430994844e-58	2.375988949563804e-54	0.9946902654867257
RPS8	16.010128	1.1000003	1.0858677292880031e-57	5.547019561601603e-54	0.9964601769911504
MT-CO3	15.855924	0.8858279	1.2793367596258427e-56	5.809183928403257e-53	1.0
EEF1A1P5	15.619269	0.9963313	5.381882415595111e-55	2.199413886781254e-51	1.0
RPL19	15.571893	1.04231	1.1301322708997697e-54	4.198646864987353e-51	0.9946902654867257
RPS11	15.478864	0.9299382	4.8190800120321336e-54	1.6411778570976433e-50	0.9964601769911504
RPS12	15.455291	1.1858894	6.94975306206265e-54	2.184735064517803e-50	0.9929203539823008
RPL11	15.434017	1.0971618	9.666195624622239e-54	2.821631547081693e-50	0.9946902654867257
MT-CO2	15.39239	0.82373047	1.841050029185226e-53	5.015879436180842e-50	1.0
RPL13	15.310975	0.99102265	6.458803113629345e-53	1.6496994177793152e-49	1.0
RPLP2	15.260609	1.0021434	1.3993657907355513e-52	3.3639930452935158e-49	0.9982300884955753
SNORD100	15.179079	1.1296003	4.8656288609349586e-52	1.104686970332383e-48	0.9964601769911504
SNORA31	15.162291	1.0085897	6.283905250247411e-52	1.351601872957163e-48	1.0
RPS18	15.062477	1.1422681	2.858708464091056e-51	5.84134194010046e-48	0.9823008849557522
RPS14	14.832378	1.1855766	9.04703324263685e-50	1.76059575012781e-46	0.9929203539823008
RPL27A	14.425996	1.0509291	3.5510760241041725e-47	6.5964465398666e-44	0.9858407079646018
RPL31	14.165194	0.9632217	1.504518318534337e-45	2.6732673966757716e-42	0.9964601769911504
RPL27	14.13541	1.231175	2.2978985436751855e-45	3.912842491015575e-42	0.9699115044247788
MT-ATP6	14.100453	0.69432986	3.7733987554396145e-45	6.168299477542029e-42	1.0
RPS15A	14.031228	1.0592985	1.0039836233348108e-44	1.5780691821086043e-41	0.9982300884955753
RPL34	14.016853	0.9212093	1.229456656821528e-44	1.860896488678718e-41	0.9929203539823008
SNORA52	13.928425	1.101103	4.256400655749593e-44	6.212368771375664e-41	0.9823008849557522
RPS2	13.743862	1.1379466	5.5437670280122e-43	7.812314728750846e-40	0.9823008849557522
RPL23	13.720404	1.0133597	7.663729403665861e-43	1.0439787651320425e-39	0.9893805309734514
RPL26	13.675672	0.9778878	1.4189046798530237e-42	1.8705283081146297e-39	0.9858407079646018
RPS25	13.629215	1.0682642	2.6845194315634717e-42	3.4283829878032626e-39	0.9787610619469026
RPS3	13.501574	1.1082482	1.530708820203416e-41	1.8956205259167578e-38	0.9805309734513274
TMSB4X	13.476161	1.0561659	2.1606107516962178e-41	2.596990576163804e-38	0.9858407079646018
RPL37	13.456957	0.9251217	2.8022124649611833e-41	3.271943337301962e-38	0.9982300884955753
RPS27A	13.453737	0.86986315	2.926974375446556e-41	3.322685050038178e-38	0.9858407079646018
RPS13	13.433498	1.0837747	3.8479430846621825e-41	4.2501051362402543e-38	0.9787610619469026
B2M	13.390262	0.9734563	6.893767687223664e-41	7.413884317730776e-38	0.9946902654867257
RPL23A	13.337595	0.97407764	1.3990042757562197e-40	1.4659771214699854e-37	0.9876106194690265
HLA-DRA	13.215703	1.0001132	7.1217501905360534e-40	7.276114125915923e-37	0.984070796460177
RPL28	13.123135	1.0492324	2.4268508717915772e-39	2.418978404329424e-36	0.9734513274336283
RPL30	13.085532	0.91726387	3.983601460927802e-39	3.876139069136583e-36	0.9876106194690265
RPL37A	13.020677	0.8502006	9.33401090501217e-39	8.871000550119357e-36	0.9946902654867257
RPL32	12.878431	0.87181413	5.953327204875014e-38	5.529423247309709e-35	0.9858407079646018
RPS20	12.795867	0.89609194	1.729119227830439e-37	1.5703092329721455e-34	0.9752212389380531
RPS4X	12.790808	0.9975947	1.845467866544649e-37	1.6395377239582646e-34	0.9628318584070796
HLA-B	12.775973	1.0507227	2.233362091223728e-37	1.9419320974902145e-34	0.984070796460177
MT-CYB	12.770683	0.771093	2.3904547047160523e-37	2.0352231753673106e-34	0.9982300884955753
PABPC1	12.667651	1.3915596	8.935040153106601e-37	7.4520058354491315e-34	0.8619469026548673
RPS23	12.631198	0.8835289	1.420978429809023e-36	1.161422509820107e-33	0.9929203539823008
TPT1	12.503442	1.0759927	7.148773291679945e-36	5.728410159040868e-33	0.9610619469026549
RPL5	12.3772955	1.0926222	3.4683413986513444e-35	2.725782844974702e-32	0.9415929203539823
RPL12	12.356482	1.0201651	4.493974102386452e-35	3.465193200796738e-32	0.9628318584070796
RPS7	12.353952	1.1299566	4.637596037408503e-35	3.509715504829135e-32	0.9398230088495575
RPS16	12.3221	0.94771755	6.887760233481041e-35	5.117856317484903e-32	0.9823008849557522
RPS21	12.248159	0.9906632	1.7185212999335476e-34	1.2541216065068623e-31	0.9663716814159292
SNORD72	12.243444	0.89405334	1.821352325569749e-34	1.3058457103343673e-31	0.9911504424778761
RPL35	12.231715	1.16328	2.104467249898652e-34	1.4828148810622107e-31	0.9380530973451328
SNORA70	11.990577	0.93372583	3.981226210094943e-33	2.7576401953889834e-30	0.9858407079646018
FAU	11.969303	1.0817553	5.1458859058975774e-33	3.5049486552719385e-30	0.9238938053097345
SNORA7A	11.964014	1.0014691	5.484538272412497e-33	3.6743709111259264e-30	0.9557522123893806
RPS29	11.934461	0.9382035	7.826443926509056e-33	5.1587626442684775e-30	0.9734513274336283
RPS19	11.814869	0.87775594	3.270586743736104e-32	2.1215725151787835e-29	0.9752212389380531
MT-ND2	11.671244	0.7507814	1.7879015991720194e-31	1.1416589789587956e-28	1.0
RPL36	11.563266	1.0832111	6.3256201779836236e-31	3.9770633817485653e-28	0.9221238938053097
MT-ND3	11.442755	0.7743956	2.556387541308484e-30	1.5829074189493004e-27	0.9964601769911504
