gene	logFC	padj_or_pval	scores	pvals
B2M	1.4903196	1.3070356799734614e-57	16.646687	3.1982667677428283e-62
MT-CO1	0.997625	2.0174965670262687e-47	15.132588	9.8734752588948e-52
HLA-B	1.4007963	7.845231587667835e-47	15.0161085	5.75909530012076e-51
MT-RNR2	1.0466176	8.008230324213103e-47	14.995657	7.838334425539536e-51
CD74	0.793236	5.050091704020488e-36	13.226387	6.1786914919378566e-40
MT-RNR1	1.1505657	1.3764854928465906e-35	13.136995	2.0209246964738157e-39
MT-ATP6	0.8503271	7.341661424124564e-35	12.997897	1.2575337061411882e-38
MT-ND4	0.8585242	2.0230069999049874e-34	12.909861	3.960177159869797e-38
MT-CO2	0.91541505	3.27814718936418e-34	12.86354	7.219351727378476e-38
RPLP1	1.1397765	5.33891155204102e-34	12.817625	1.3064114204715344e-37
RPS14	1.1671432	6.8442844641393874e-34	12.790943	1.8422475127984256e-37
RPS11	0.9102891	1.943657911974779e-33	12.702771	5.707268687130777e-37
RPL27A	1.092668	3.598967539663649e-33	12.648188	1.1448498303185316e-36
MT-CO3	0.9191431	5.4859956522897415e-33	12.60918	1.8793632792242247e-36
HLA-C	1.4801877	1.1899054481618198e-32	12.542543	4.367480295208186e-36
RPL19	0.9451757	2.465796171241287e-30	12.10737	9.653935630180977e-34
RPS18	1.0850046	3.5160301789054725e-30	12.073239	1.4626107382825517e-33
TMSB4X	1.1653377	1.4177132129246276e-29	11.9532385	6.244362892466609e-33
RPS6	0.9928483	4.2812865971715336e-29	11.856533	1.990467745277587e-32
RPL11	0.9776266	4.8039001286905057e-29	11.842583	2.3509923061103118e-32
