rank	score	pert_desc	pert_id	cell_id	pert_dose	pert_dose_unit	pert_time	pert_time_unit	sig_id	pubchem_id	drugchem_id
1	0.0569	Emetine Dihydrochloride Hydrate (74)	BRD-K01976263	HCC515	0.63	um	24.0	h	CPC006_HCC515_24H:BRD-K01976263:0.63	11957493	
2	0.0569	L-690,488	BRD-K69328504	HT115	10.0	um	6.0	h	CPC006_HT115_6H:BRD-K69328504:10.0	5132514	
3	0.0569	7643453	BRD-K00954209	A549	10.0	um	6.0	h	CPC013_A549_6H:BRD-K00954209:10.0	1305613	
4	0.0569	LDN-193189	BRD-K04853698	HS578T	10	um	24	h	LJP005_HS578T_24H:BRD-K04853698:10	25195294	
5	0.0569	I-BET151	BRD-K36363294	HEPG2	1.11	um	24	h	LJP008_HEPG2_24H:BRD-K36363294:1.11		
6	0.0569	AZD-5438	BRD-K72414522	PC3	1.11	um	24	h	LJP006_PC3_24H:BRD-K72414522:1.11	16747683	
7	0.0569	GDC-0068	BRD-K43002773	HA1E	10	um	24	h	LJP007_HA1E_24H:BRD-K43002773:10		
8	0.0488	Parthenolide	BRD-K98548675	AGS	10.0	um	6.0	h	CPC006_AGS_6H:BRD-K98548675:10.0	6473881	
9	0.0488	-666	BRD-K52914903	A549	10.0	um	6.0	h	CPC013_A549_6H:BRD-K52914903:10.0	44202433	
10	0.0488	-666	BRD-K31706415	HEPG2	10.0	um	6.0	h	CPC019_HEPG2_6H:BRD-K31706415:10.0	23748696	
11	0.0488	GDC-0879	BRD-K67578145	HEPG2	3.33	um	24	h	LJP009_HEPG2_24H:BRD-K67578145:3.33	11717001	
12	0.0488	PD-0325901	BRD-K49865102	HEPG2	10	um	24	h	LJP009_HEPG2_24H:BRD-K49865102:10	9826528	
13	0.0407	L 161982	BRD-K39733634	MCF7	10.0	um	6.0	h	CPC004_MCF7_6H:BRD-K39733634:10.0	9961192	
14	0.0407	CA-074-Me	BRD-A56020723	A375	10.0	um	24.0	h	CPC005_A375_24H:BRD-A56020723:10.0	23760717	
15	0.0407	Emetine Dihydrochloride Hydrate (74)	BRD-K01976263	A375	0.63	um	24.0	h	CPC006_A375_24H:BRD-K01976263:0.63	11957493	
16	0.0407	trifluoperazine	BRD-K89732114	AGS	10.0	um	6.0	h	CPC006_AGS_6H:BRD-K89732114:10.0	5351168	
17	0.0407	atorvastatin	BRD-U88459701	AGS	10.0	um	6.0	h	CPC006_AGS_6H:BRD-U88459701:10.0		
18	0.0407	PNU 74654	BRD-K30707190	H1299	80.0	um	6.0	h	CPC006_H1299_6H:BRD-K30707190:80.0	9836739	
19	0.0407	4-Demethoxydaunorubicin hydrochloride (65)	BRD-A71390734	HCC515	0.08	um	24.0	h	CPC006_HCC515_24H:BRD-A71390734:0.08	42594	
20	0.0407	GW405833 hydrochloride	BRD-K10705233	HCT116	40.0	um	6.0	h	CPC006_HCT116_6H:BRD-K10705233:40.0	9911463	
21	0.0407	GW405833 hydrochloride	BRD-K10705233	HT115	40.0	um	6.0	h	CPC006_HT115_6H:BRD-K10705233:40.0	9911463	
22	0.0407	gemcitabine	BRD-K15108141	HT115	0.08	um	6.0	h	CPC006_HT115_6H:BRD-K15108141:0.08	60749	
23	0.0407	Inhibitor BEC hydrochloride	BRD-K53792571	SNGM	80.0	um	6.0	h	CPC006_SNGM_6H:BRD-K53792571:80.0	16760312	
24	0.0407	-666	BRD-K05153001	A375	10.0	um	24.0	h	CPC007_A375_24H:BRD-K05153001:10.0	665013	
25	0.0407	"""4-[(1-methyl-2-oxo-1,2-dihydroquinolin-4-yl)oxy]-N-(4-methylpyridin-2-yl)butanamide"""	BRD-K84203638	A375	10.0	um	24.0	h	CPC007_A375_24H:BRD-K84203638:10.0	3237904	
26	0.0407	VU0365117-1	BRD-K66032149	HT29	10.0	um	6.0	h	CPC008_HT29_6H:BRD-K66032149:10.0	45281797	
27	0.0407	2-[(chloroacetyl)(3-chloro-4-methoxyphenyl)amino]-N-(2-phenylethyl)-2-thien-2-ylacetamide	BRD-A36275421	A375	10.0	um	6.0	h	CPC010_A375_6H:BRD-A36275421:10.0	3689413	
28	0.0407	S1107	BRD-K07881437	PC3	10.0	um	24.0	h	CPC013_PC3_24H:BRD-K07881437:10.0	11442891	
29	0.0407	-666	BRD-K07996107	HT29	10.0	um	6.0	h	CPC015_HT29_6H:BRD-K07996107:10.0	5281542	
30	0.0407	-666	BRD-A17065207	ASC	10.0	um	24.0	h	CPC016_ASC_24H:BRD-A17065207:10.0	5362868	
31	0.0407	-666	BRD-K40990712	SKB	10.0	um	24.0	h	CPC018_SKB_24H:BRD-K40990712:10.0	1794	
32	0.0407	PD-184352	BRD-K05104363	A549	10	um	24	h	LJP005_A549_24H:BRD-K05104363:10	6918454	
33	0.0407	SYK-inhibitor	BRD-K53281329	HEPG2	1.11	um	24	h	LJP009_HEPG2_24H:BRD-K53281329:1.11	10200390	
34	0.0407	PD-0325901	BRD-K49865102	MCF7	0.37	um	24	h	LJP008_MCF7_24H:BRD-K49865102:0.37	9826528	
35	0.0407	I-BET151	BRD-K36363294	HEPG2	10	um	24	h	LJP008_HEPG2_24H:BRD-K36363294:10		
36	0.0407	PD-0325901	BRD-K49865102	HEPG2	0.37	um	24	h	LJP008_HEPG2_24H:BRD-K49865102:0.37	9826528	
37	0.0407	PFI-1	BRD-K13094524	HEPG2	10	um	24	h	LJP008_HEPG2_24H:BRD-K13094524:10		
38	0.0407	(+)-JQ1	BRD-K54606188	HEPG2	0.04	um	24	h	LJP008_HEPG2_24H:BRD-K54606188:0.04		
39	0.0407	TG-101348	BRD-K12502280	SKBR3	1.11	um	24	h	LJP005_SKBR3_24H:BRD-K12502280:1.11	16722836	
40	0.0407	ZSTK-474	BRD-K63068307	LNCAP	3.33	um	3	h	LJP006_LNCAP_3H:BRD-K63068307:3.33	11647372	
41	0.0407	CGP-60474	BRD-K79090631	PC3	3.33	um	24	h	LJP006_PC3_24H:BRD-K79090631:3.33	644215	
42	0.0407	OTSSP167	BRD-K53417444	HCC515	3.33	um	24	h	LJP007_HCC515_24H:BRD-K53417444:3.33		
43	0.0407	GSK-1059615	BRD-K02708799	HA1E	1.11	um	24	h	LJP008_HA1E_24H:BRD-K02708799:1.11	23658330	
44	0.0407	I-BET	BRD-K08109215	HA1E	3.33	um	24	h	LJP008_HA1E_24H:BRD-K08109215:3.33		
45	0.0325	TRICIRIBINE	BRD-K80431395	HCC515	10.0	um	24.0	h	CPC004_HCC515_24H:BRD-K80431395:10.0	65399	
46	0.0325	wortmannin	BRD-A75409952	HT29	10.0	um	6.0	h	CPC004_HT29_6H:BRD-A75409952:10.0	5691	
47	0.0325	89671	BRD-A31107743	A375	0.09	um	24.0	h	CPC006_A375_24H:BRD-A31107743:0.09	5353446	
48	0.0325	HKI-272	BRD-K85606544	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K85606544:10.0	9915743	
49	0.0325	-666	BRD-K92317137	A375	10.0	um	24.0	h	CPC006_A375_24H:BRD-K92317137:10.0	659101	
50	0.0325	480743.cdx	BRD-K53903639	AGS	80.0	um	6.0	h	CPC006_AGS_6H:BRD-K53903639:80.0	19582717	
