gene	scores	logfoldchanges	pvals	pvals_adj
CD74	118.966515	5.5924187	0.0	0.0
HLA-DRA	117.33714	5.892706	0.0	0.0
HLA-DRB1	111.711334	5.547258	0.0	0.0
HLA-DPA1	111.39101	5.5060163	0.0	0.0
HLA-DPB1	109.74097	5.4313173	0.0	0.0
CST3	102.05092	3.438258	0.0	0.0
HLA-DQB1	92.1103	5.6212306	0.0	0.0
CD83	91.11604	6.120633	0.0	0.0
FTH1	89.81593	2.368668	0.0	0.0
FTL	89.16516	2.523763	0.0	0.0
TYROBP	87.12526	4.1639285	0.0	0.0
SRGN	84.00266	3.6098855	0.0	0.0
LYZ	83.61193	4.516271	0.0	0.0
FTH1P8	79.997635	2.348255	0.0	0.0
AIF1	78.48623	4.1780505	0.0	0.0
MS4A6A	77.52994	5.7749953	0.0	0.0
FOSB	76.44325	3.7864637	0.0	0.0
NFKBIA	74.252464	2.9939704	0.0	0.0
HLA-DQA1	72.61429	5.411171	0.0	0.0
HLA-DMA	72.085686	4.702644	0.0	0.0
GPR183	71.29522	5.211793	0.0	0.0
IL1B	69.256775	6.4998765	0.0	0.0
TMSB4X	68.83975	1.4923835	0.0	0.0
CXCL8	68.5458	6.6434345	0.0	0.0
FCER1G	68.404205	3.806027	0.0	0.0
HLA-DMB	68.26987	4.93697	0.0	0.0
NR4A2	67.91862	3.978383	0.0	0.0
IER3	67.46639	3.7027385	0.0	0.0
DUSP1	66.74172	2.861195	0.0	0.0
HSP90AA1	64.22094	2.0051706	0.0	0.0
SAT1	64.123726	3.234208	0.0	0.0
MRC1	63.598095	7.675459	0.0	0.0
IFI30	63.103695	3.4562984	0.0	0.0
ZFP36	62.482082	2.3193831	0.0	0.0
CTSS	62.190228	2.763665	0.0	0.0
NR4A3	62.016438	4.534522	0.0	0.0
C1QA	61.690678	7.041609	0.0	0.0
HLA-DRB5	61.1671	4.7275147	0.0	0.0
INSIG1	61.09174	4.1666846	0.0	0.0
HSPA1A	61.063763	2.4292066	0.0	0.0
LCP1	60.683502	2.4818456	0.0	0.0
PLEK	60.511944	4.106134	0.0	0.0
F13A1	59.886795	4.4513917	0.0	0.0
DNAJB1	58.32066	2.4512925	0.0	0.0
