leiden_scvi	n_cells	ISG15	MX1	OAS1	IFIT1	IFIT3	IFI44L	IFI27	HLA-DRA	HLA-DRB1	HLA-DPA1	HLA-DPB1	HLA-DQA1	HLA-DQB1	CD74	CD83	NFKBIA	RELA	NFKB1	NFKB2	REL
0	12657	0.06644137	0.06737213	0.037967514	0.09230465	0.0852492	0.031330086	0.16996232	0.025952065	0.013369005	0.017695043	0.018986795	0.0033178714	0.004212706	0.0921394	0.005193358	0.20773219	0.07740083	0.074811175	0.012469709	0.008211544
1	11036	0.049025487	0.04713433	0.030819945	0.093362704	0.0751989	0.033782527	0.13949805	0.0514363	0.038626738	0.037053436	0.039603513	0.0055165184	0.005642134	0.23851572	0.009002967	0.29796734	0.05316301	0.07001849	0.012846042	0.010778208
10	19638	0.062159922	0.048815716	0.022050906	0.016364237	0.015111693	0.030032312	0.008640623	0.0789696	0.05044227	0.06965846	0.06691043	0.009406845	0.025095835	0.35543102	0.021034015	0.11801754	0.033182014	0.07439559	0.009462789	0.02305444
11	7824	0.09165772	0.04362015	0.02587101	0.012286116	0.018150147	0.03785967	0.011748832	0.11971586	0.12175628	0.15052587	0.16268013	0.023915317	0.03963482	0.586278	0.031700186	0.14537339	0.03664411	0.04360989	0.0057150777	0.046781898
12	1005	0.040705703	0.010281263	0.012245523	0.01717825	0.01942876	0.014133205	0.004138192	0.16969396	0.07858728	0.08506846	0.090298675	0.020690959	0.033508983	0.27055648	0.5546003	0.9340167	0.03569528	0.09448766	0.019715013	0.09576665
13	374	0.21060678	0.12735352	0.063298106	0.02129825	0.031134693	0.06318896	0.029968282	0.4053356	0.3852977	0.32097584	0.22981064	0.048643995	0.11861644	1.1765836	0.12819804	0.46058112	0.08249151	0.13158089	0.028884154	0.080465615
14	208	0.024399875	0.14914833	0.07721235	0.009997315	0.013329754	0.10167194	0.037223086	1.2582567	0.7419942	0.87106794	0.71936375	0.2096985	0.268359	2.8311174	0.41778693	0.20320727	0.036656823	0.09110837	0.015279105	0.1416612
15	106	0.09759521	0.047879	0.019617373	0.062677264	0.053424157	0.019617373	0.10573715	0.026156498	0.013078249	0.02998164	0.016903391	0.0	0.0065391245	0.1816344	0.0	0.19407925	0.04577387	0.062677264	0.0	0.013078249
16	53	0.033806782	0.013078249	0.0	0.0	0.013078249	0.013078249	0.14386074	0.06539124	0.026156498	0.039234746	0.026156498	0.0	0.0	0.11992656	0.020728534	0.0	0.026156498	0.046885032	0.0	0.0
17	229	0.016904809	0.030782772	0.032039028	0.0	0.015134218	0.020906078	0.17497875	0.10812089	0.14608958	0.13346788	0.15922563	0.0	0.0030268435	0.72705686	0.0030268435	0.9221117	0.06659056	0.14339982	0.027241593	0.1132544
18	1052	0.031176556	0.022260195	0.0019766556	0.009995239	0.012630779	0.0054831947	0.014880897	0.019046322	0.007359698	0.00895093	0.016198667	0.0026355407	0.0026355407	0.04223107	0.00895093	0.28884932	0.03344164	0.020263938	0.008565508	0.0026355407
19	225	0.07109169	0.038483083	0.04365264	0.0528946	0.06213656	0.0030806542	0.045922976	0.04104025	0.0061613084	0.040048506	0.030806541	0.0	0.017205337	0.15555294	0.0061613084	0.25255367	0.051092535	0.0603345	0.0	0.012322617
2	7990	0.07011446	0.034412775	0.018196905	0.054277465	0.057602014	0.022537889	0.054970305	0.026107945	0.014348199	0.02090409	0.03396783	0.0032605645	0.0054948484	0.091922745	0.0067813843	0.19179943	0.051139623	0.039105937	0.008437888	0.009195836
20	2443	0.0108929705	0.016242495	0.012698209	0.009127504	0.008324533	0.0034047344	0.09069673	0.04694214	0.032396242	0.026826607	0.031963825	0.008677706	0.02007051	0.11019142	0.023281632	0.43112478	0.055546664	0.07845538	0.00952899	0.034904074
