gene	logfoldchanges	scores	pvals	pvals_adj	pct_in_group
PSMB9	32.64737	25.953209	1.672817240384378e-148	1.9980309355352e-146	
OAZ1	33.91094	25.953209	1.672817240384378e-148	1.9980309355352e-146	
GNB2L1	34.548916	25.953209	1.672817240384378e-148	1.9980309355352e-146	
EEF2	33.372704	25.953209	1.672817240384378e-148	1.9980309355352e-146	
EEF1D	33.15582	25.953209	1.672817240384378e-148	1.9980309355352e-146	
EIF1	33.791183	25.953209	1.672817240384378e-148	1.9980309355352e-146	
HLA-B	34.567894	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ACTG1	35.130188	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ACTB	36.52232	25.953209	1.672817240384378e-148	1.9980309355352e-146	
MYL6	34.48077	25.953209	1.672817240384378e-148	1.9980309355352e-146	
MT-CO2	35.76098	25.953209	1.672817240384378e-148	1.9980309355352e-146	
FAU	34.39707	25.953209	1.672817240384378e-148	1.9980309355352e-146	
COX6C	32.708935	25.953209	1.672817240384378e-148	1.9980309355352e-146	
COX6B1	32.381577	25.953209	1.672817240384378e-148	1.9980309355352e-146	
EIF3H	32.334076	25.953209	1.672817240384378e-148	1.9980309355352e-146	
SLC25A6	33.8306	25.953209	1.672817240384378e-148	1.9980309355352e-146	
COX5A	32.98068	25.953209	1.672817240384378e-148	1.9980309355352e-146	
COX4I1	33.317707	25.953209	1.672817240384378e-148	1.9980309355352e-146	
TCEB2	31.971874	25.953209	1.672817240384378e-148	1.9980309355352e-146	
COX7C	33.060905	25.953209	1.672817240384378e-148	1.9980309355352e-146	
IGKC	38.33865	25.953209	1.672817240384378e-148	1.9980309355352e-146	
PTMA	34.28277	25.953209	1.672817240384378e-148	1.9980309355352e-146	
FTL	35.742416	25.953209	1.672817240384378e-148	1.9980309355352e-146	
HNRNPK	31.807644	25.953209	1.672817240384378e-148	1.9980309355352e-146	
SUB1	34.118927	25.953209	1.672817240384378e-148	1.9980309355352e-146	
LAPTM5	33.36629	25.953209	1.672817240384378e-148	1.9980309355352e-146	
BST2	33.20242	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ENO1	32.72505	25.953209	1.672817240384378e-148	1.9980309355352e-146	
GAPDH	35.737865	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL34	35.270157	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL10	35.762177	25.953209	1.672817240384378e-148	1.9980309355352e-146	
NPM1	32.67477	25.953209	1.672817240384378e-148	1.9980309355352e-146	
CYBA	33.746933	25.953209	1.672817240384378e-148	1.9980309355352e-146	
B2M	36.72307	25.953209	1.672817240384378e-148	1.9980309355352e-146	
NACA	34.017696	25.953209	1.672817240384378e-148	1.9980309355352e-146	
UBA52	34.06436	25.953209	1.672817240384378e-148	1.9980309355352e-146	
FTH1	34.088547	25.953209	1.672817240384378e-148	1.9980309355352e-146	
UBC	32.69111	25.953209	1.672817240384378e-148	1.9980309355352e-146	
TPT1	34.528732	25.953209	1.672817240384378e-148	1.9980309355352e-146	
CLIC1	33.33224	25.953209	1.672817240384378e-148	1.9980309355352e-146	
BTF3	33.287117	25.953209	1.672817240384378e-148	1.9980309355352e-146	
PKM	33.08348	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL7	34.341427	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL21	34.902943	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL19	35.542046	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL18A	35.37046	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL3	35.577667	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL18	34.8553	25.953209	1.672817240384378e-148	1.9980309355352e-146	
LY6E	33.073658	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL15	35.090958	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL14	34.37046	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL13A	36.243996	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL13	35.824795	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL12	34.754566	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS20	34.667538	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPSA	34.802322	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS9	34.881466	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS8	35.172035	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RAN	32.689133	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS7	34.889896	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS6	35.68432	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ATP5E	33.312286	25.953209	1.672817240384378e-148	1.9980309355352e-146	
ATP5A1	32.25414	25.953209	1.672817240384378e-148	1.9980309355352e-146	
SRP14	33.061443	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL11	35.611103	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL10A	35.00604	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL35	34.69609	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL32	35.35791	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL31	34.408367	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPL30	34.583683	25.953209	1.672817240384378e-148	1.9980309355352e-146	
PARK7	32.173164	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS24	34.438435	25.953209	1.672817240384378e-148	1.9980309355352e-146	
RPS23	34.886257	25.953209	1.672817240384378e-148	1.9980309355352e-146	
