cluster	n_cells	score_ISG_TypeI_IFN_mean	score_ISG_TypeI_IFN_median	score_Antigen_Presentation_mean	score_Antigen_Presentation_median	score_NFkB_Immediate_Early_mean	score_NFkB_Immediate_Early_median	score_ABC_like_Bcell_mean	score_ABC_like_Bcell_median
0	1343	-0.17890269287690824	-0.17909114205058496	-0.3059603773189496	-0.3067144775390625	-0.14673538911370437	-0.14663188513306072	-0.13152704808055954	-0.1314065053333184
1	1179	0.4227201187023536	0.40823184225826814	1.1362993669085222	1.1177864122390746	-0.020946392160480935	-0.04617134384486987	0.034329208873104616	0.03078334276860628
2	1154	-0.20065732637346276	-0.2010894564527962	-0.34244909902999054	-0.3415103340148926	-0.17752852957034612	-0.1775624393220729	-0.1596233645081387	-0.16058643089666064
3	821	0.5636797732563765	0.5469029805701515	1.6606978048041154	1.6372908020019532	0.1767561526232043	0.12351483610675373	0.10431449117435618	0.09092104496450346
4	690	0.2866042948933775	0.262190534441515	1.2236753772047981	1.2143876409530638	0.095452111986914	0.025113455855100275	0.019419092782252328	0.018409760394547267
5	653	0.44974066821477426	0.43298212367685596	0.6539103647956986	0.5086193990707397	-0.08975660437552523	-0.11413790655090543	0.013017594560094757	0.010192389918603328
6	631	0.19254143849106992	0.16706552816994824	1.0146939282645893	0.96049391746521	-0.03507968737045288	-0.0808002299460508	-0.023082545751484235	-0.027819768542205026
7	599	-0.21384346709853563	-0.21477067650263035	-0.34535500734994723	-0.34696590423583984	-0.20586884187559526	-0.20509098525031355	-0.1654017007045672	-0.16619917861370098
8	521	0.46944247906463177	0.4405615520104558	1.4225335992274952	1.4194594383239747	0.04763155202941741	-0.04101838566615601	-0.018690434854672547	-0.021810204593363303
9	456	-0.1974949007321001	-0.19752162185745623	-0.3423102740237587	-0.3448644065856934	-0.17284053022338422	-0.1738824940046738	-0.15076676219475546	-0.150603417339161
10	445	0.6815271351325303	0.658036829971322	0.782208341842287	0.7491785383224487	-0.04696744306861701	-0.08480574357925394	0.05770521882448795	0.051620108350300176
11	420	-0.17572031790173545	-0.17616814464779953	-0.29665714892886935	-0.3003652381896973	-0.156999588817676	-0.1583985612543929	-0.1358512383168351	-0.13814909205395717
12	294	0.6607720676047999	0.645988543295847	0.6251370685441153	0.5940678596496582	-0.09547266638606053	-0.09735011208644052	0.003553577630819105	0.0049021162583698236
13	279	0.7826536009269303	0.774460535352953	1.5674737803077183	1.6544583892822264	-0.03732981580606061	-0.06745070985100568	0.06400083891748298	0.05315096822372481
14	148	-0.17827431021963275	-0.17793753159106077	-0.31496882219572325	-0.3166644287109375	-0.15318043339934562	-0.15384183520058725	-0.12577455340869698	-0.12606844314531473
15	136	0.20943918759470978	0.20520642188459318	1.0972572847061297	1.0879622101783752	-0.052580422916673954	-0.09758684211408358	-0.054617959570366324	-0.06165939844440253
16	49	0.23621918288371416	0.21481723215645218	0.8722153979904798	0.7685958671569824	0.007909073475313676	-0.009298921371839047	-0.07756196044807608	-0.0966074296943096
